head_label,tail_label,score,kg_score,kg_score_norm,meta_score,rank
1120800,111010,0.9017857142857143,-6.461819648742676,1.0,0.6071428571428571,1
288470,39690,0.9010869565217391,-6.255989074707031,1.0,0.6043478260869565,1
345350,39690,0.9010869565217391,-6.3462934494018555,1.0,0.6043478260869565,1
72850,39690,0.9010869565217391,-6.073575496673584,1.0,0.6043478260869565,1
292030,39690,0.9010869565217391,-5.985300064086914,1.0,0.6043478260869565,1
284710,284870,0.9008816522829637,-5.914917945861816,0.9345088697106182,0.8,2
255320,292910,0.9,-5.8398261070251465,1.0,0.6000000000000001,1
222440,267900,0.8995457457149975,-6.508572101593018,0.9904199686456376,0.6269230769230769,1
364420,331440,0.8988636363636364,-6.396528244018555,1.0,0.5954545454545455,1
58550,97110,0.8985219782443387,-6.400761604309082,0.9688626376591182,0.6875,1
13520,286690,0.8980769230769231,-6.165927410125732,1.0,0.5923076923076923,1
65500,257220,0.8979294881476028,-6.523013114929199,0.9555726508634703,0.725,1
241910,327220,0.8978240339544615,-6.58410120010376,0.9618423016828718,0.7057692307692308,2
371040,327220,0.8975312151357575,-6.67058801651001,0.9546793013404303,0.7260869565217392,1
215930,317620,0.8975,-6.543529510498047,1.0,0.59,1
313010,73010,0.8975,-6.559113502502441,1.0,0.59,1
260570,369420,0.8967105263157895,-6.164633750915527,1.0,0.5868421052631578,1
263300,222440,0.8964285714285715,-6.208735942840576,1.0,0.5857142857142857,1
284850,284890,0.89625,-6.680606365203857,1.0,0.5850000000000001,1
207930,209120,0.8961956521739131,-6.507324695587158,1.0,0.5847826086956521,1
306410,105100,0.8958333333333334,-6.394278526306152,1.0,0.5833333333333334,1
203830,327220,0.8950578216369796,-6.549518585205078,0.9538270955159727,0.7187500000000001,2
277510,351470,0.895,-6.79575252532959,1.0,0.58,1
235820,251370,0.89375,-6.43361759185791,1.0,0.575,1
104000,228440,0.89375,-6.462713241577148,1.0,0.575,1
40400,70900,0.89375,-6.481481552124023,1.0,0.575,1
303840,275490,0.89375,-6.37970495223999,1.0,0.575,1
48800,253770,0.89375,-6.406386852264404,1.0,0.575,1
285440,252310,0.89375,-6.260962009429932,1.0,0.575,1
252310,285440,0.89375,-6.318167686462402,1.0,0.575,1
45760,294810,0.89375,-6.224781036376953,1.0,0.575,1
251370,319140,0.8934999733360731,-6.464575290679932,0.9996666311147643,0.575,1
321150,306410,0.8931184334284112,-6.502293586730957,0.9817968001267706,0.6270833333333333,1
301690,3350,0.8928954170399067,-6.544956207275391,0.9838605560532089,0.62,1
284770,284890,0.8927779132671672,-6.028987884521484,0.9158607471013209,0.8235294117647058,3
319320,330990,0.8920435568768277,-5.98634147644043,0.922724742502437,0.8,3
284730,284890,0.8917641972528367,-6.194280624389648,0.9056855963371157,0.8500000000000001,3
57900,225160,0.8916666666666666,-6.478917598724365,1.0,0.5666666666666667,1
335330,391460,0.8916666666666666,-6.330173492431641,1.0,0.5666666666666667,1
94200,201570,0.8913043478260869,-5.767355442047119,1.0,0.5652173913043478,1
323220,331440,0.8913043478260869,-6.345757961273193,1.0,0.5652173913043478,1
285840,201570,0.8913043478260869,-6.226665496826172,1.0,0.5652173913043478,1
70300,251370,0.8913043478260869,-6.5556464195251465,1.0,0.5652173913043478,1
239700,344770,0.8910714285714285,-6.142218112945557,1.0,0.5642857142857143,1
95300,214970,0.8910714285714285,-6.557219982147217,1.0,0.5642857142857143,1
107300,263320,0.8910714285714285,-6.629334449768066,1.0,0.5642857142857143,1
351970,40390,0.8894230769230769,-6.351011753082275,1.0,0.5576923076923077,1
244810,330350,0.8894230769230769,-6.572882175445557,1.0,0.5576923076923077,1
284870,313650,0.888840061830999,-6.239749908447266,0.9838042929676477,0.6039473684210527,2
205730,350070,0.8886363636363637,-6.28646183013916,1.0,0.5545454545454545,1
269050,233230,0.8886363636363637,-6.258652210235596,1.0,0.5545454545454545,1
262960,350070,0.8884191176470588,-6.166299819946289,1.0,0.5536764705882353,1
247370,286100,0.888125,-6.529214859008789,1.0,0.5525,1
230820,327220,0.8875039211912541,-6.4892377853393555,0.9517909425407197,0.6946428571428572,1
243470,277590,0.8875,-6.27226448059082,1.0,0.55,1
42700,42670,0.8875,-6.494460105895996,1.0,0.55,1
227020,43500,0.8875,-6.217521667480469,1.0,0.55,1
111010,105100,0.8875,-6.269056797027588,1.0,0.5499999999999999,1
220240,48190,0.8875,-6.3428192138671875,1.0,0.55,1
201870,243470,0.8875,-6.297811031341553,1.0,0.55,1
219780,292030,0.8874129187337656,-6.349380016326904,0.9943283360894652,0.5666666666666667,1
321150,396790,0.8870833333333333,-6.48629903793335,1.0,0.5483333333333333,2
47780,45750,0.887,-6.219642639160156,1.0,0.548,1
78000,347590,0.88671875,-6.633722305297852,1.0,0.546875,1
208640,209230,0.8865475103761393,-6.456387996673584,0.9903966805015191,0.575,1
63940,231430,0.8864130434782609,-6.243900299072266,1.0,0.5456521739130434,1
244430,265950,0.8864130434782609,-6.353660583496094,1.0,0.5456521739130434,1
209120,376300,0.8864130434782609,-6.210057258605957,1.0,0.5456521739130434,1
350010,284870,0.8863121401365699,-6.2285614013671875,0.9072397162605245,0.8235294117647058,2
347560,307070,0.8859375,-6.680301189422607,1.0,0.54375,1
272060,343710,0.8857142857142857,-6.08290958404541,1.0,0.5428571428571428,1
48190,115320,0.8857142857142857,-6.18914794921875,1.0,0.5428571428571428,1
55100,350080,0.8857142857142857,-6.127399444580078,1.0,0.5428571428571428,1
60350,1120800,0.8857142857142857,-6.318749904632568,1.0,0.5428571428571428,1
263980,360740,0.8857142857142857,-6.393569469451904,1.0,0.5428571428571428,1
214170,40300,0.8857142857142857,-6.354568004608154,1.0,0.5428571428571428,1
108800,286690,0.8857142857142857,-6.202759742736816,1.0,0.5428571428571428,1
268750,383230,0.8857142857142857,-6.6242241859436035,1.0,0.5428571428571428,1
350080,287390,0.8857142857142857,-6.413053512573242,1.0,0.5428571428571428,1
289650,115320,0.8857142857142857,-6.183476448059082,1.0,0.5428571428571428,1
208200,286690,0.8857142857142857,-6.198380470275879,1.0,0.5428571428571428,1
243930,208730,0.8857142857142857,-5.973968029022217,1.0,0.5428571428571428,1
227100,13520,0.8857142857142857,-6.40198278427124,1.0,0.5428571428571428,1
